UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
101  5.009858 ns
111  200.621367 ns
110  200.819719 ns
100  202.517043 ns
000  205.009858 ns
010  300.397882 ns
011  302.342649 ns
111  302.357706 ns
011  302.890697 ns
001  400.397882 ns
011  400.621367 ns
010  400.819719 ns
011  402.342649 ns
111  402.357706 ns
101  402.517043 ns
111  403.957996 ns
110  404.156348 ns
111  404.994801 ns
011  405.009858 ns
001  500.397882 ns
000  502.342649 ns
100  502.357706 ns
000  502.890697 ns
010  503.957996 ns
011  504.156348 ns
010  504.994801 ns
110  505.009858 ns
100  600.397882 ns
110  600.621367 ns
111  600.819719 ns
110  602.342649 ns
010  602.357706 ns
000  602.517043 ns
010  700.397882 ns
011  702.342649 ns
111  702.357706 ns
011  702.890697 ns
001  800.397882 ns
011  800.621367 ns
010  800.819719 ns
011  802.342649 ns
111  802.357706 ns
101  802.517043 ns
111  803.957996 ns
110  804.156348 ns
111  804.994801 ns
011  805.009858 ns
001  900.621367 ns
000  900.819719 ns
010  902.517043 ns
000  903.957996 ns
001  904.156348 ns
000  904.994801 ns
010  1000.397882 ns
011  1002.342649 ns
111  1002.357706 ns
011  1002.890697 ns
001  1003.957996 ns
000  1004.156348 ns
001  1004.994801 ns
101  1005.009858 ns
111  1100.397882 ns
101  1100.621367 ns
100  1100.819719 ns
101  1102.342649 ns
001  1102.357706 ns
011  1102.517043 ns
001  1300.397882 ns
011  1300.621367 ns
010  1300.819719 ns
011  1302.342649 ns
111  1302.357706 ns
101  1302.517043 ns
111  1400.621367 ns
110  1400.819719 ns
100  1402.517043 ns
110  1403.957996 ns
111  1404.156348 ns
110  1404.994801 ns
100  1500.397882 ns
101  1502.342649 ns
001  1502.357706 ns
101  1502.890697 ns
#2
111  202.869171 ns
110  202.943357 ns
010  204.419054 ns
000  204.847758 ns
100  303.967134 ns
101  304.241906 ns
111  304.395838 ns
011  304.443423 ns
111  503.967134 ns
101  504.21942 ns
100  504.293606 ns
110  504.395838 ns
100  602.869171 ns
101  602.943357 ns
100  604.241906 ns
000  604.443423 ns
100  703.967134 ns
101  704.241906 ns
111  704.395838 ns
011  704.443423 ns
010  904.217537 ns
000  904.847758 ns
100  1003.967134 ns
110  1004.21942 ns
111  1004.293606 ns
101  1004.395838 ns
111  1102.869171 ns
110  1102.943357 ns
111  1104.241906 ns
011  1104.443423 ns
001  1302.869171 ns
000  1302.943357 ns
001  1304.241906 ns
101  1304.443423 ns
100  1404.217537 ns
110  1404.847758 ns
010  1503.967134 ns
011  1504.241906 ns
001  1504.395838 ns
101  1504.443423 ns
#3
111  201.289182 ns
110  202.150735 ns
100  202.948174 ns
000  203.71498 ns
100  302.967049 ns
101  302.97892 ns
111  303.156067 ns
011  305.581865 ns
001  401.289182 ns
011  403.156067 ns
001  503.156067 ns
000  503.696162 ns
010  504.493601 ns
110  505.581865 ns
100  601.289182 ns
101  602.150735 ns
111  602.948174 ns
011  602.967049 ns
010  602.97892 ns
000  603.156067 ns
100  702.967049 ns
101  702.97892 ns
111  703.156067 ns
011  705.581865 ns
001  801.289182 ns
011  803.156067 ns
001  901.289182 ns
000  903.726851 ns
