UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
01001  9.081161 ns
01000  101.083376 ns
11000  102.328336 ns
10000  102.732656 ns
00000  103.629493 ns
00001  103.695037 ns
00000  104.143591 ns
00010  104.144236 ns
01010  104.305729 ns
01011  104.940648 ns
11011  105.388551 ns
11001  105.389847 ns
11101  105.998395 ns
11100  203.042865 ns
11101  204.154106 ns
01101  204.287825 ns
00101  204.692145 ns
00100  204.725003 ns
00101  205.173557 ns
00100  205.530832 ns
10100  205.588982 ns
10110  205.980031 ns
00110  206.418517 ns
00111  304.154106 ns
00110  304.725003 ns
01110  304.895913 ns
01111  305.173557 ns
01110  305.530832 ns
01100  305.980031 ns
11100  306.418517 ns
11000  306.588579 ns
11100  308.372429 ns
11110  309.081161 ns
11111  401.083376 ns
01111  402.328336 ns
00111  402.732656 ns
10111  403.629493 ns
10110  404.154106 ns
10100  404.603305 ns
10101  405.530832 ns
11101  405.626161 ns
10101  405.82135 ns
10111  405.980031 ns
00111  406.522998 ns
00011  407.514016 ns
00010  501.083376 ns
10010  502.328336 ns
11010  502.732656 ns
01010  503.629493 ns
01011  504.154106 ns
01001  504.603305 ns
01101  506.995703 ns
01111  507.704435 ns
01110  601.083376 ns
11110  602.328336 ns
10110  602.732656 ns
10111  603.042865 ns
10110  603.044208 ns
10100  603.493407 ns
10101  604.26229 ns
10100  605.654526 ns
10000  605.885805 ns
10001  606.10308 ns
10011  606.103725 ns
11011  606.448928 ns
11001  606.594537 ns
10001  606.644117 ns
00001  607.34804 ns
00101  608.336783 ns
00100  701.083376 ns
10100  702.328336 ns
11100  702.732656 ns
11101  703.042865 ns
11100  703.044208 ns
11110  703.493407 ns
11111  704.26229 ns
11110  704.940648 ns
11100  705.389847 ns
11101  705.654526 ns
11100  706.10308 ns
11110  706.103725 ns
01110  706.808407 ns
11110  707.34804 ns
11111  803.044208 ns
11101  803.493407 ns
10101  804.122588 ns
10001  805.815254 ns
10000  901.083376 ns
00000  902.328336 ns
01000  902.732656 ns
11000  903.629493 ns
11001  903.695037 ns
11011  904.144236 ns
10011  906.644117 ns
10111  908.336783 ns
10110  1001.083376 ns
00110  1002.328336 ns
01110  1002.732656 ns
11110  1003.629493 ns
11111  1004.154106 ns
11110  1004.26229 ns
11100  1004.603305 ns
10100  1004.895913 ns
00100  1005.50725 ns
00101  1005.530832 ns
00111  1005.980031 ns
01111  1006.644117 ns
01011  1008.372429 ns
01001  1009.081161 ns
01000  1103.044208 ns
01010  1103.493407 ns
00010  1104.305729 ns
00011  1104.940648 ns
01011  1105.229503 ns
01001  1105.389847 ns
00001  1105.424692 ns
10001  1106.12634 ns
10101  1107.782245 ns
10111  1108.490977 ns
10110  1301.083376 ns
00110  1302.328336 ns
01110  1302.732656 ns
01111  1303.042865 ns
01110  1303.044208 ns
01100  1303.493407 ns
01101  1304.154106 ns
11101  1304.287825 ns
11111  1304.603305 ns
11110  1305.530832 ns
10110  1305.82135 ns
10100  1305.980031 ns
00100  1306.522998 ns
00000  1307.514016 ns
00100  1308.372429 ns
00110  1309.081161 ns
00111  1401.083376 ns
10111  1402.328336 ns
11111  1402.732656 ns
11110  1403.042865 ns
11111  1403.044208 ns
11101  1403.493407 ns
11100  1404.154106 ns
01100  1404.287825 ns
01110  1404.603305 ns
00110  1404.692145 ns
00111  1501.083376 ns
10111  1502.328336 ns
11111  1502.732656 ns
01111  1503.629493 ns
01110  1503.695037 ns
01100  1504.144236 ns
00100  1506.644117 ns
00000  1508.336783 ns
00001  1603.042865 ns
00000  1603.044208 ns
00010  1603.493407 ns
00011  1604.154106 ns
10011  1604.287825 ns
10001  1604.603305 ns
11001  1604.945355 ns
11000  1605.654526 ns
11001  1606.10308 ns
11011  1606.103725 ns
10011  1606.644117 ns
10111  1606.995703 ns
00111  1607.34804 ns
00101  1607.704435 ns
00100  1703.044208 ns
00110  1703.493407 ns
00111  1704.154106 ns
00101  1704.603305 ns
01101  1705.229503 ns
00101  1705.424692 ns
00100  1705.654526 ns
00101  1706.10308 ns
00111  1706.103725 ns
10111  1706.12634 ns
10011  1707.117358 ns
00011  1707.34804 ns
00010  1803.042865 ns
00011  1803.044208 ns
00001  1803.493407 ns
10001  1804.287825 ns
11001  1804.692145 ns
01001  1805.588982 ns
01101  1805.885805 ns
01111  1806.594537 ns
01110  1901.083376 ns
11110  1902.328336 ns
10110  1902.732656 ns
10111  1903.042865 ns
10110  1903.044208 ns
10100  1903.493407 ns
10101  1904.26229 ns
10100  1905.654526 ns
10000  1905.885805 ns
10001  1906.10308 ns
10011  1906.103725 ns
11011  1906.448928 ns
11001  1906.594537 ns
10001  1906.644117 ns
00001  1907.34804 ns
00101  1908.336783 ns
00100  2001.083376 ns
10100  2002.328336 ns
11100  2002.732656 ns
01100  2003.629493 ns
01101  2004.154106 ns
01100  2004.26229 ns
01110  2004.603305 ns
00110  2004.895913 ns
10110  2005.50725 ns
10111  2005.530832 ns
10101  2005.980031 ns
11101  2006.644117 ns
11001  2008.372429 ns
11011  2009.081161 ns
11010  2104.940648 ns
11000  2105.389847 ns
10000  2106.448928 ns
11000  2106.644117 ns
01000  2107.345765 ns
01100  2107.782245 ns
01000  2108.336783 ns
01010  2108.490977 ns
01011  2203.042865 ns
01010  2204.154106 ns
11010  2204.287825 ns
11011  2204.725003 ns
11010  2205.173557 ns
10010  2205.424692 ns
00010  2206.418517 ns
